RRT: steps, samples, total samples, time, path cost
13,199,199,0.04,7.91332
11,73,73,0,7.339
31,786,786,0.39,16.7855
12,328,328,0.06,7.52877
12,230,230,0.04,8.64403
41,4181,4181,5.03,21.4965
15,46,46,0,9.51432
14,188,188,0.02,8.93661
15,530,530,0.17,11.0442
32,1748,1748,1.62,17.2526
8,992,992,0.52,4.29046
7,77,77,0.01,4.09194
18,167,167,0.02,13.4656
5,15,15,0,4.16546
23,330,330,0.09,11.748
31,166,166,0.03,17.91
16,378,378,0.08,10.3403
6,73,73,0.01,4.13163
6,39,39,0,3.45273
10,115,115,0.01,7.72218

RRTCONNECT: steps, samples, total samples, time, path cost
6,11,11,0,5.59861
23,78,78,0.01,12.6058
32,316,316,0.06,16.4119
11,34,34,0,7.27576
5,3,3,0,6.12043
18,151,151,0.02,13.08
20,60,60,0,13.675
4,2,2,0,4.68158
5,10,10,0,5.0866
28,194,194,0.03,12.2387
7,12,12,0,4.5618
4,2,2,0,2.89809
5,4,4,0,4.61204
9,24,24,0,8.49315
19,68,68,0.01,14.6497
20,86,86,0.01,12.3051
4,2,2,0,4.39127
5,5,5,0,4.24717
4,2,2,0,3.6867
16,73,73,0,11.6653

RRTSTAR: steps, samples, total samples, time, path cost
4,1517,2500,6.34,4.51087
5,190,2500,5.76,4.2803
7,528,2500,5.64,9.21633
3,47,2500,5.96,3.12495
4,1274,2500,5.93,4.18543
5,4925,5000,12.19,6.21921
5,1461,2500,5.98,4.62944
4,830,2500,5.83,3.74067
4,54,2500,6.19,4.2048
6,434,2500,5.86,5.46246
4,2525,5000,12.14,2.34963
4,48,2500,6.09,3.05559
4,34,2500,6.03,3.70432
4,24,2500,6.62,4.17729
8,549,2500,5.75,6.37319
5,94,2500,6.16,5.28065
5,2536,5000,12.65,4.35902
3,95,2500,6.08,3.38867
3,51,2500,6.25,2.57378
6,208,2500,5.78,6.04756

PRM: steps, samples, total samples, time, path cost
7,5000,5000,261.33,8.90284
7,5000,5000,226.56,8.37059
12,5000,5000,234.77,15.0724
7,5000,5000,223.22,8.91612
7,5000,5000,230.71,7.42431
11,5000,5000,236.02,13.8597
7,5000,5000,221.6,8.76488
6,5000,5000,227.81,7.74785
4,5000,5000,222.84,5.08145
8,5000,5000,223.82,9.07793
3,5000,5000,223.65,2.85301
4,5000,5000,231.9,4.68077
5,5000,5000,230.83,6.69135
5,5000,5000,228.32,5.14982
10,5000,5000,225.37,13.6272
11,5000,5000,237.81,12.4703
5,5000,5000,291.02,5.99402
5,5000,5000,305,6.49869
6,5000,5000,264.44,7.54813
8,5000,5000,291.81,11.3407
